county,latitude,longitude,crop_name,soil_pH,nitrogen,phosphorus,potassium,organic_carbon,calcium,magnesium,target_fertilizer,rich_advice_text
Trans Nzoia,1.0581,34.9593,Fruit Trees,4.55,0.12,10.0,0.26,1.01,0.8,1.56,NPK 17:17:17,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, potassium and calcium are deficient. Soil organic matter content is low. To raise the soil pH and calcium  content apply 300 kg/acre of agricultural lime 4 weeks before planting. Avocado: The optimum soil pH is 5.5-6.5. At transplanting time apply 20 kg of well decomposed manure or compost mixed well with 150 gm of N:P:K 17:17:17 fertilizer and top soil per planting hole. Top dress with 100 gm per tree of calcium ammonium nitrate (CAN) in split applications 1-2 weeks after the onset of the rains. To determine the right amount of fertilizers the soil should be tested annually. 
Garden peas: At land preparation apply 4 tons/acre of well decomposed manure or compost. Mix well with the soil. Several days before sowing apply 150 kg/acre of N:P:K 17:17:17. At flowering stage top dress with CAN at the rate of 50 kg/acre. 
Tomato: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting apply 150 kg/acre of N:P:K 17:17:17. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of N:P:K 17:17:17. "
Trans Nzoia,1.0581,34.9593,Fruit Trees,4.94,0.09,5.0,0.16,0.65,0.6,1.92,NPK 17:17:17,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, potassium and calcium are deficient. Soil organic matter content is low. To raise the soil pH and calcium  content apply 300 kg/acre of agricultural lime 4 weeks before planting. Avocado: The optimum soil pH is 5.5-6.5. At transplanting time apply 20 kg of well decomposed manure or compost mixed well with 150 gm of N:P:K 17:17:17 fertilizer and top soil per planting hole. Top dress with 100 gm per tree of calcium ammonium nitrate (CAN) in split applications 1-2 weeks after the onset of the rains. To determine the right amount of fertilizers the soil should be tested annually. 
Garden peas: At land preparation apply 4 tons/acre of well decomposed manure or compost. Mix well with the soil. Several days before sowing apply 150 kg/acre of N:P:K 17:17:17. At flowering stage top dress with CAN at the rate of 50 kg/acre. 
Tomato: At land preparation apply 5 tons/acre of well decomposed manure or compost. Mix well with the soil. At planting apply 150 kg/acre of N:P:K 17:17:17. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of N:P:K 17:17:17. "
Uasin Gishu,0.5143,35.2697,Capsicum,4.32,0.18,25.0,0.38,2.09,1.4,1.24,NPK 23:23:0,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content apply 800 kg/acre of agricultural lime 4 weeks before planting. At land preparation apply through broadcasting 2 tons/acre of well decomposed manure or compost. Mix well with the soil. 
Capsicum: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When plants are 15 cm high top dress with 50 kg/acre of CAN. Four weeks later apply 100 kg/acre of CAN. 
Tomato: At planting apply 100 kg/acre of N:P:K 23:23:0. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of N:P:K 23:23:0. 
Onion: At planting time apply along the drill line 100 kg/acre of N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. "
Trans Nzoia,1.0581,34.9593,Tomatoes,6.42,0.27,42.0,0.7,1.04,3.6,4.14,CAN,"Both fields have similar soil fertility condition. The soil reaction (pH) is satisfactory for crops' growth. Soil zinc and organic matter should be improved in outside field. 
Tomatoes: Prior to transplanting apply 4 tons/acre of well decomposed manure or compost in outside field. In inside field apply 1 ton/acre of manure or compost. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN at the start of flowering is beneficial. "
Trans Nzoia,1.0581,34.9593,Tomatoes,6.26,0.28,121.0,2.08,2.8,5.6,4.44,CAN,"Both fields have similar soil fertility condition. The soil reaction (pH) is satisfactory for crops' growth. Soil zinc and organic matter should be improved in outside field. 
Tomatoes: Prior to transplanting apply 4 tons/acre of well decomposed manure or compost in outside field. In inside field apply 1 ton/acre of manure or compost. Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) when plants are 25 cm high. An application of 100 kg/acre of CAN at the start of flowering is beneficial. "
Trans Nzoia,1.0581,34.9593,Tomato,5.14,0.19,25.0,1.0,1.98,3.0,2.98,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 140 kg/acre of N:P:K 23:23:0 fertilizer. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Onion: At planting time apply along the drill line 140 kg/acre of N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. 
Vegetables: At transplanting apply 140 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20-25 cm high followed by 60 kg/acre of CAN 3-4 weeks later."
Trans Nzoia,1.0581,34.9593,Tomato,4.93,0.19,15.0,0.88,2.0,2.2,2.82,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 140 kg/acre of N:P:K 23:23:0 fertilizer. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Onion: At planting time apply along the drill line 140 kg/acre of N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. 
Vegetables: At transplanting apply 140 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20-25 cm high followed by 60 kg/acre of CAN 3-4 weeks later."
Trans Nzoia,1.0581,34.9593,Tomato,5.07,0.17,5.0,0.64,1.84,2.0,1.98,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 140 kg/acre of N:P:K 23:23:0 fertilizer. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Onion: At planting time apply along the drill line 140 kg/acre of N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. 
Vegetables: At transplanting apply 140 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20-25 cm high followed by 60 kg/acre of CAN 3-4 weeks later."
Trans Nzoia,1.0581,34.9593,Tomato,5.19,0.18,5.0,0.68,1.9,2.2,2.0,NPK 23:23:0,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Tomato: At planting time apply 140 kg/acre of N:P:K 23:23:0 fertilizer. At the start of flowering apply 100 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Onion: At planting time apply along the drill line 140 kg/acre of N:P:K 23:23:0. One month after planting top dress with 60 kg/acre of CAN. 
Vegetables: At transplanting apply 140 kg/acre of N:P:K 23:23:0. Top dress with 50 kg/acre of CAN when plants are 20-25 cm high followed by 60 kg/acre of CAN 3-4 weeks later."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.21,0.1,10.0,0.1,0.84,0.8,0.13,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium, 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.469565004,34.57272339,Maize & Sunflower,4.75,0.1,10.0,0.2,0.99,0.8,0.67,NPK 17:17:17,"The soil pH is acidic for crops' growth.  All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 600 kg/ha of dolomitic lime to improve pH, calcium and magnesium, 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.38,0.1,10.0,0.12,1.24,0.6,0.57,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 800 kg/ha of dolomitic lime to improve pH, calcium and magnesium, 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.57091701,34.62627792,Maize & Sunflower,4.23,0.1,10.0,0.08,1.07,0.6,0.05,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 800 kg/ha of dolomitic lime to improve pH, calcium and magnesium, 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.529039025,34.59827805,Maize & Sunflower,4.28,0.15,10.0,0.22,1.26,0.6,0.49,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron, manganese and Zinc. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 600 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.542769015,34.54502106,Maize & Sunflower,4.73,0.1,15.0,0.26,1.1,1.0,0.45,NPK 23:23:0,"The soil pH is acidic for crops' growth. All nutrients are deficient except iron, manganese and potassium. Soil organic matter is low. During land preparation apply 10 t/ha of well decomposed manure or compost and 500 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 23:23:0 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 23:23:0 fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,3.89,0.1,15.0,0.14,0.82,1.0,0.09,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except manganese and iron. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1200 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.34,0.1,20.0,0.16,0.69,0.8,0.15,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except manganese and iron. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 600 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about a knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.06,0.05,10.0,0.12,0.73,0.8,0.07,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.17,0.05,10.0,0.18,0.7,1.2,0.21,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10 t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.56,0.05,10.0,0.22,0.73,1.4,0.48,NPK 17:17:17,"The soil pH is acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 600 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.538729012,34.53926468,Maize & Sunflower,4.21,0.1,5.0,0.06,1.16,0.8,0.39,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10 t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.69,0.15,5.0,0.2,1.51,1.2,1.04,NPK 17:17:17,"The soil pH is acidic for crops' growth. All nutrients are deficient except magnesium, iron and manganese. Soil organic matter is moderate.  During land preparation apply 7t/ha  of well decomposed manure or compost and 500 kg/ha of dolomitic lime to improve pH and calcium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.6,0.1,5.0,0.1,1.22,1.4,0.77,NPK 17:17:17,"The soil pH is acidic for crops' growth. All nutrients are deficient except iron, manganese and copper. Soil organic matter is low. During land preparation apply 10t/ha  of well decomposed manure or compost and 600 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate through broadcasting. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.27,0.1,5.0,0.08,1.03,1.4,0.46,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 800 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,3.81,0.1,10.0,0.1,1.15,1.4,0.04,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1200 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.55,0.19,40.0,0.34,1.75,2.4,1.61,CAN,"The soil pH is acidic for crops' growth.  All nutrients are adequate except nitrogen. Soil organic matter is moderate. During land preparation apply 7 t/ha of well decomposed manure or compost and 300 kg/ha of dolomitic lime to improve pH through broadcasting. Maize:  At planting apply 100 kg/ha of CAN fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 100 kg/ha of CAN fertilizer. Top dress with 150 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.24,0.1,10.0,0.14,1.11,1.8,0.55,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganes. Soil organic matter is low. During land preparation apply 10 t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.01,0.1,10.0,0.28,1.17,1.6,0.58,NPK 23:23:0,"The soil pH is very acidic for crops' growth.  All nutrients are deficient except potassium, iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1000 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 23:23:0 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 23:23:0 fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,4.75,0.1,5.0,0.18,1.16,2.4,1.0,NPK 17:17:17,"The soil pH is acidic for crops' growth. All nutrients are deficient except calcium, magnesium, iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 500 kg/ha of dolomitic lime to improve pH through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.62508601,34.52005386,Maize & Sunflower,4.13,0.1,5.0,0.12,0.93,0.8,0.43,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1000kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer.  In 3144 apply 120 kg/ha of CAN at planting.Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.529039025,34.59827805,Maize & Sunflower,3.85,0.1,10.0,0.08,0.73,0.6,0.13,NPK 17:17:17,"The soil pH is very acidic for crops' growth. All nutrients are deficient except iron and manganese. Soil organic matter is low. During land preparation apply 10t/ha of well decomposed manure or compost and 1200kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.529039025,34.59827805,Maize & Sunflower,6.23,0.15,55.0,0.7,1.66,5.5,2.07,CAN,"The soil pH is satisfactory for crops' growth.  All nutrients are adequate except nitrogen and copper. Soil organic matter is moderate. During land preparation apply 7 t/ha of well decomposed manure or compost. At land preparation apply 13 kg/ha of of copper sulphate through broadcasting. Maize:  At planting apply 160 kg/ha of CAN. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 120 kg/ha of CAN.Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.511512995,34.55093384,Maize & Sunflower,4.97,0.15,10.0,0.32,1.43,1.6,0.94,NPK 17:17:17,"The soil pH is acidic for crops' growth. All nutrients are deficient except potassium, iron and manganese. Soil organic matter is moderate. During land preparation apply 7t/ha of well decomposed manure or compost and 500 kg/ha of dolomitic lime to improve pH, calcium and magnesium through broadcasting. At land preparation apply 13 kg/ha of zinc sulphate and 13 kg/ha of copper sulphate through broadcasting where these minor nutrients are deficient. Maize:  At planting apply 400 kg/ha of N:P:K 17:17:17 or 19:19:19 fertilizer as a basal dressing. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 300 kg/ha of N:P:K 17:17:17 or 19:19:19  fertilizer. Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
Bungoma,0.5695,34.5584,Maize & Sunflower,6.01,0.15,55.0,0.76,1.68,3.1,2.05,CAN,"The soil pH is satisfactory for crops' growth. Nitrogen is low while soil organic matter is moderate. During land preparation apply 7 t/ha of well decomposed manure or compost through broadcasting.   Maize:  At planting apply 160 kg/ha of CAN. When maize is about knee high, top dress with 200 kg/ha of calcium ammonium nitrate (CAN) in two equal split applications at knee high and when plants are about to flower. Sun flower: At planting apply 120 kg/ha of CAN.Top dress with 100 kg/ha of CAN fertilizer when the crop is 20 cm high."
