county,crop,soil_pH,nitrogen,organic_carbon,phosphorus,potassium,fertilizer_Recommendation,target_fertilizer
Uasin Gishu,Maize,5.79,0.16,1.84,20.0,0.46,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 22 & 23B where it is satisfactory. Acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 24 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.15,0.15,1.7,20.0,0.8,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 22 & 23B where it is satisfactory. Acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus and calcium are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 24 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Wheat,4.98,0.29,2.72,10.0,1.02,"The soil pH is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus is deficient. Soil organic matter content is sufficient. 
Wheat: Wheat prefers neutral to slightly acidic soil. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply by spreading 140 kg/acre of single superphosphate (SSP). 
French beans: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost. Mix well with the soil. At planting time apply 140 kg/acre of SSP. Top dress with 50 kg/acre of CAN at 2-3 leave stage and 100 kg/acre at the onset of flowering. 
Passion fruits: Mix top soil with 10 kg of well decomposed manure or compost and 100 gm of SSP per planting hole. Fill the planting hole with this mixture using extra top soil if necessary. This should be done at least three weeks before transplanting. To stimulate the plants' growth top dress with 100 gm/plant of CAN. The fertilizer quantity should be split and applied 1-2 weeks after the onset of the rains.",DAP
Uasin Gishu,Maize,5.36,0.15,1.33,15.0,0.34,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.1,0.18,1.98,15.0,0.66,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.02,0.17,1.8,15.0,0.7,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.07,0.15,1.6,15.0,0.62,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.98,0.15,1.7,15.0,0.62,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 33 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 32 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.8,0.2,2.29,20.0,1.45,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 33 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 32 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.33,0.19,2.12,20.0,0.82,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 33 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 32 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.2,0.21,2.34,5.0,0.66,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 33 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 32 apply 250 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.86,0.16,1.74,15.0,0.76,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 43 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.33,0.18,2.05,10.0,1.08,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 43 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.44,0.22,2.5,15.0,1.44,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 43 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.76,0.13,1.41,5.0,0.36,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 43 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.72,0.15,1.57,10.0,0.7,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 52B where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 44 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.19,0.21,2.34,10.0,1.04,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 52B where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 44 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.26,0.18,2.0,10.0,1.44,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 52B where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 44 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.58,0.19,2.14,10.0,1.24,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 52B where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 44 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.85,0.14,1.48,10.0,0.3,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 54 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 53B apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,6.3,0.15,1.62,10.0,1.14,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 54 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 53B apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.27,0.15,1.6,15.0,0.78,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 54 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 53B apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.8,0.27,3.03,10.0,0.68,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 54 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 53B apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.09,0.18,1.86,10.0,0.98,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 62 & 63 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 64 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.53,0.22,2.4,10.0,1.18,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 62 & 63 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 64 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,6.07,0.21,2.36,30.0,1.5,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 62 & 63 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 64 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.72,0.13,1.48,10.0,1.18,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the fields KOFC 62 & 63 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 64 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,4.86,0.14,1.23,5.0,0.44,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 67 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 65 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.08,0.18,1.97,10.0,0.74,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 67 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 65 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.56,0.22,2.46,15.0,0.3,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 67 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 65 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.2,0.21,2.35,10.0,0.66,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth except for the field KOFC 67 where it is satisfactory. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 65 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.33,0.19,2.15,25.0,1.5,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 75 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
Uasin Gishu,Maize,5.45,0.15,1.7,20.0,1.34,"All fields have similar soil fertility status. The soil reaction (pH) is acidic for plants' growth. Hence, acidifying fertilizer like DAP should be avoided. Nitrogen, phosphorus, calcium and zinc are deficient. Soil organic matter content should be improved. To raise the soil pH and calcium content in the field KOFC 75 apply 300 kg/acre of agricultural lime at least 4 weeks before planting. At land preparation apply through broadcasting 2 ton/acre of well decomposed manure or compost and 3 kg/acre of zinc sulphate. Mix well with the soil. 
Maize: At planting time apply 100 kg/acre of N:P:K 23:23:0 fertilizer. When maize is about a knee high top dress with 60 kg/acre of calcium ammonium nitrate (CAN). 
Wheat: At planting time apply by spreading 100 kg/acre of N:P:K 23:23:0. 
Pasture grass: Apply 100 kg/acre of N:P:K 23:23:0. ",NPK 23:23:0
